date,close
2022-07-11,592814089.48
2022-07-12,588907522.14
2022-07-13,585319021.3
2022-07-14,584124143.66
2022-07-15,590401936.9
2022-07-18,589513353.24
2022-07-19,588064534.93
2022-07-20,593687334.93
2022-07-21,592428981.33
2022-07-22,598710028.62
2022-07-25,601763706.04
2022-07-26,609618476.34
2022-07-27,614574257.14
2022-07-28,614681790.86
2022-07-29,620151089.91
2022-08-01,617195162.64
2022-08-02,612006211.4
2022-08-03,611597236.98
2022-08-04,609526235.93
2022-08-05,602763748.07
2022-08-08,608069267.84
2022-08-09,612351309.42
2022-08-10,613736502.22
2022-08-11,611033167.81
2022-08-12,612835701.3
2022-08-15,620328534.49
2022-08-16,623658589.39
2022-08-17,621601313.99
2022-08-18,622352342.51
2022-08-19,621803968.79
2022-08-22,626363385.26
2022-08-23,627458971.97
2022-08-24,626030417.51
2022-08-25,625335829.97
2022-08-26,627496653.35
2022-08-29,623623738.02
2022-08-30,622900351.41
2022-08-31,629197151.09
2022-09-01,633659392.92
2022-09-02,637165341.69
2022-09-05,641363456.51
2022-09-06,637798750.5
2022-09-07,627854946.41
2022-09-08,626540740.64
2022-09-09,630073638.12
2022-09-12,631923770.71
2022-09-13,631752400.55
2022-09-14,631433725.54
2022-09-15,632779713.29
2022-09-16,631293670.21
2022-09-19,629601557.08
2022-09-20,609555219.44
2022-09-21,593931274.02
2022-09-22,600700396.23
2022-09-23,588219845.86
2022-09-26,562236375.99
2022-09-27,569312242.04
2022-09-28,570549849.21
2022-09-29,567585870.39
2022-09-30,569885947.03
2022-10-03,579967250.33
2022-10-04,582143932.45
2022-10-05,582031127.05
2022-10-06,583449246.43
2022-10-07,576624134.2
2022-10-10,580394113.17
2022-10-11,584373818.07
2022-10-12,585600043.13
2022-10-13,586679017.03
2022-10-14,586795361.81
2022-10-17,595874047.2
2022-10-18,598617849.63
2022-10-19,593850734.59
2022-10-20,600516072.72
2022-10-21,602446053.25
2022-10-24,602640668.44
2022-10-25,610821524.24
2022-10-26,609807025.75
2022-10-27,615148220.09
2022-10-28,615876216.9
2022-10-31,615938848.64
2022-11-01,617349689.78
2022-11-02,574638841.09
2022-11-03,573466181.6
2022-11-07,579613411.31
2022-11-08,579729417.54
2022-11-09,576025650.37
2022-11-10,580779642.05
2022-11-11,580785741.8
2022-11-14,581453386.14
2022-11-15,577531120.32
2022-11-16,577092164.66
2022-11-17,575033693.97
2022-11-18,574306062.27
2022-11-21,569124835.95
2022-11-22,574045830.97
2022-11-23,575344355.46
2022-11-24,573673448.27
2022-11-25,570138903.51
2022-11-28,567844208.87
2022-11-29,567955816.77
2022-11-30,568894592.65
2022-12-01,570405537.04
2022-12-02,566296735.88
2022-12-05,569208873.11
2022-12-06,567603447.71
2022-12-07,566765000.95
2022-12-08,563687861.04
2022-12-09,563135481.9
2022-12-12,561642654.7
2022-12-13,561498913.16
2022-12-14,557182249.2
2022-12-15,552622494.21
2022-12-16,549202460.82
2022-12-19,548758037.77
2022-12-20,552065207.71
2022-12-21,552383053.07
2022-12-22,553778461.33
2022-12-23,554093947.5
2022-12-26,556762610.25
2022-12-27,557929794.55
2022-12-28,556178447.18
2022-12-29,558307141.73
2022-12-30,561454877.07
2023-01-09,562951874.84
2023-01-10,562178966.28
2023-01-11,564071130.8
2023-01-12,529572709.01
2023-01-13,530822997.87
2023-01-16,534101686.28
2023-01-17,531923962.93
2023-01-18,530283669.12
2023-01-19,529354125.77
2023-01-20,432166362.49
2023-01-23,433735713.23
2023-01-24,430815860.09
2023-01-25,431327285.44
2023-01-26,418178647.0
2023-01-27,418664179.46
2023-01-30,420998299.97
2023-01-31,423890881.82
2023-02-01,426536880.82
2023-02-02,428513155.21
2023-02-03,428706450.47
2023-02-06,431702135.14
2023-02-07,420958151.0
2023-02-08,264831451.98
2023-02-09,260629775.7
2023-02-10,258907655.41
2023-02-13,259768250.39
2023-02-14,258273800.43
2023-02-15,260982290.43
2023-02-16,260836693.91
2023-02-17,261846009.84
2023-02-20,261791909.4
2023-02-21,263280970.03
2023-02-22,265245123.46
2023-02-27,272153852.72
2023-02-28,273533038.94
2023-03-01,274490783.56
2023-03-02,273806159.53
2023-03-03,275657538.21
2023-03-06,276900282.63
2023-03-07,278309511.79
2023-03-09,278819201.77
2023-03-10,280776882.75
2023-03-13,280650202.18
2023-03-14,282027114.08
2023-03-15,299735736.29
2023-03-16,298242022.21
2023-03-17,300728445.64
2023-03-20,301024723.38
2023-03-21,299166268.8
2023-03-22,298836801.98
2023-03-23,299574078.77
2023-03-24,299892378.54
2023-03-27,302532609.97
2023-03-28,303856329.66
2023-03-29,308689431.15
2023-03-30,308211705.37
2023-03-31,308527836.2
2023-04-03,311607048.35
2023-04-04,312695002.04
2023-04-05,322927082.89
2023-04-06,321851375.54
2023-04-07,314550710.2
2023-04-10,316893991.42
2023-04-11,317403315.56
2023-04-12,318216957.2
2023-04-13,327045759.52
2023-04-14,329032825.85
2023-04-17,330038930.57
2023-04-18,333698903.38
2023-04-19,332838490.01
2023-04-20,332134514.26
2023-04-21,331598241.13
2023-04-24,331705774.64
2023-04-25,331714590.91
2023-04-26,330960890.07
2023-04-27,331805491.46
2023-04-28,331420417.07
2023-05-02,335798192.76
2023-05-03,334534821.1
2023-05-04,335772699.39
2023-05-05,335942636.74
2023-05-10,339123036.13
2023-05-11,340932397.36
2023-05-12,339892462.14
2023-05-15,341702838.77
2023-05-16,343199520.76
2023-05-17,344721814.33
2023-05-18,345276202.75
2023-05-19,344889513.29
2023-05-22,345185162.78
2023-05-23,346560445.23
2023-05-24,346936438.23
2023-05-25,346168208.27
2023-05-26,349432199.44
2023-05-29,351693762.65
2023-05-30,357525302.36
2023-05-31,358720513.51
2023-06-01,360961179.64
2023-06-02,361840086.92
2023-06-05,314858491.28
2023-06-06,317074006.99
2023-06-07,319288568.18
2023-06-08,317578939.22
2023-06-09,316922565.95
2023-06-13,319261205.41
2023-06-14,325477765.12
2023-06-15,355886070.7
2023-06-16,357667032.57
2023-06-19,360556250.03
2023-06-20,362160915.02
2023-06-21,366770355.15
2023-06-22,376983358.82
2023-06-23,395420874.05
2023-06-26,395717698.6
2023-06-27,396745136.45
2023-06-28,397046374.47
2023-06-29,395972064.29
2023-06-30,411933279.49
2023-07-03,426915187.99
2023-07-04,438752317.64
2023-07-05,435933920.49
2023-07-06,447229659.83
2023-07-07,449221269.37
2023-07-10,454325910.4
2023-07-11,455908943.75
2023-07-12,458018547.52
2023-07-13,465191085.07
2023-07-14,464410847.36
2023-07-17,469586793.88
2023-07-18,472827969.93
2023-07-19,473290215.91
2023-07-20,473265332.2
2023-07-21,474422794.9
2023-07-24,475110003.09
2023-07-25,480808367.1
2023-07-26,487799125.17
2023-07-27,493868738.74
2023-07-28,495716650.27
2023-07-31,500497151.92
2023-08-01,508377158.53
2023-08-02,511126816.76
2023-08-03,515810941.76
2023-08-04,512623293.99
2023-08-07,517887092.23
2023-08-08,523217863.89
2023-08-09,533632375.96
