date,close
2022-07-11,10208191603.33
2022-07-12,10225129253.22
2022-07-13,10038527548.38
2022-07-14,10029411354.04
2022-07-15,10023005902.55
2022-07-18,10021407408.89
2022-07-19,9995384508.66
2022-07-20,9995657734.43
2022-07-21,10003620233.99
2022-07-22,10065191291.71
2022-07-25,10117244632.79
2022-07-26,10103265946.01
2022-07-27,10072661391.5
2022-07-28,10064652846.41
2022-07-29,10009504309.25
2022-08-01,10015647431.8
2022-08-02,9965546292.42
2022-08-03,9936245458.15
2022-08-04,9910498143.03
2022-08-05,9914304022.54
2022-08-08,9984903281.28
2022-08-09,9949885051.5
2022-08-10,9969475943.66
2022-08-11,9980283017.1
2022-08-12,10008389572.67
2022-08-15,9995625213.4
2022-08-16,9983756345.09
2022-08-17,9920409968.76
2022-08-18,9908313044.51
2022-08-19,9913363485.26
2022-08-22,10113570162.2
2022-08-23,10103029973.0
2022-08-24,9878894756.21
2022-08-25,9887781557.51
2022-08-26,9841455883.8
2022-08-29,9818746760.48
2022-08-30,9821338949.79
2022-08-31,9808375338.62
2022-09-01,9813519344.02
2022-09-02,9819548662.67
2022-09-05,9823759829.28
2022-09-06,9818829033.01
2022-09-07,9834911885.0
2022-09-08,9851026930.81
2022-09-09,10285640131.55
2022-09-12,10310344872.83
2022-09-13,9915446846.49
2022-09-14,9930091748.51
2022-09-15,9959466727.13
2022-09-16,14583228478.58
2022-09-19,14557263948.19
2022-09-20,14461970339.6
2022-09-21,14037590229.01
2022-09-22,14392001609.05
2022-09-23,14195262118.24
2022-09-26,13694657443.68
2022-09-27,13660119620.98
2022-09-28,13770770882.2
2022-09-29,13802108206.81
2022-09-30,13766361590.2
2022-10-03,13880166030.61
2022-10-04,13920970133.14
2022-10-05,13593395134.77
2022-10-06,14003200464.8
2022-10-07,13978152515.9
2022-10-10,13940846962.13
2022-10-11,13970091218.2
2022-10-12,13580638280.97
2022-10-13,13555999743.75
2022-10-14,13544318477.78
2022-10-17,13531944845.87
2022-10-18,13548108941.48
2022-10-19,13568335120.83
2022-10-20,13587401718.67
2022-10-21,13551674721.47
2022-10-24,13574358075.17
2022-10-25,13550772635.35
2022-10-26,13555805483.5
2022-10-27,13547747961.06
2022-10-28,13523675866.27
2022-10-31,13536710847.42
2022-11-01,13516011208.6
2022-11-02,13482196284.75
2022-11-03,13472749485.52
2022-11-07,13822195664.79
2022-11-08,13392603583.44
2022-11-09,13374061826.53
2022-11-10,13359316471.32
2022-11-11,13329892534.43
2022-11-14,13358947370.72
2022-11-15,13301491346.49
2022-11-16,13277438349.66
2022-11-17,13252296021.32
2022-11-18,13223127249.33
2022-11-21,13224579475.73
2022-11-22,13185649650.96
2022-11-23,13177176497.22
2022-11-24,13160815259.14
2022-11-25,13150310776.16
2022-11-28,13241402868.64
2022-11-29,13227062801.12
2022-11-30,13223132820.21
2022-12-01,13185671292.72
2022-12-02,13174292392.71
2022-12-05,13149340176.98
2022-12-06,13094734216.78
2022-12-07,12566822372.78
2022-12-08,12523510486.46
2022-12-09,12486295150.22
2022-12-12,12453843225.05
2022-12-13,12490269035.93
2022-12-14,12435697217.11
2022-12-15,12452500017.93
2022-12-16,12609103724.78
2022-12-19,12777509793.75
2022-12-20,12783644967.48
2022-12-21,12735028828.85
2022-12-22,12335566332.83
2022-12-23,12315275023.36
2022-12-26,12339928588.47
2022-12-27,12345257885.65
2022-12-28,12359928499.13
2022-12-29,12373431029.08
2022-12-30,12332240103.9
2023-01-09,12405503182.85
2023-01-10,12398238762.45
2023-01-11,12385909381.25
2023-01-12,12376924035.46
2023-01-13,12353865617.78
2023-01-16,12351023992.26
2023-01-17,12282211399.65
2023-01-18,12248838235.67
2023-01-19,12103702932.62
2023-01-20,12108007256.37
2023-01-23,12102986725.46
2023-01-24,12086442669.26
2023-01-25,12050739654.9
2023-01-26,12066303742.41
2023-01-27,12065639334.01
2023-01-30,12061812432.71
2023-01-31,12039186932.89
2023-02-01,12048335497.55
2023-02-02,12024749285.85
2023-02-03,11984417365.77
2023-02-06,11960637334.25
2023-02-07,11928826065.3
2023-02-08,12043499458.09
2023-02-09,11927996459.76
2023-02-10,11888566627.76
2023-02-13,11941159437.2
2023-02-14,11929206689.96
2023-02-15,11854209341.8
2023-02-16,11852756381.28
2023-02-17,11837070493.87
2023-02-20,11561927395.21
2023-02-21,11569746889.39
2023-02-22,11563852687.29
2023-02-27,11579762316.99
2023-02-28,11563141268.23
2023-03-01,11555433326.17
2023-03-02,11529506725.9
2023-03-03,11466665181.22
2023-03-06,11444454115.79
2023-03-07,11413215122.78
2023-03-09,11408540283.42
2023-03-10,11382733206.94
2023-03-13,11366054404.65
2023-03-14,11373156059.48
2023-03-15,11367059712.11
2023-03-16,11350667704.06
