date,close
2022-07-11,331553946.12
2022-07-12,332614352.41
2022-07-13,334204342.72
2022-07-14,334899521.86
2022-07-15,335876616.22
2022-07-18,337375732.24
2022-07-19,341655962.61
2022-07-20,343020748.08
2022-07-21,343747975.92
2022-07-22,344844970.16
2022-07-25,344605593.68
2022-07-26,348599716.82
2022-07-27,344871567.05
2022-07-28,344186960.14
2022-07-29,346829409.9
2022-08-01,348257031.58
2022-08-02,348924012.03
2022-08-03,354876993.72
2022-08-04,356172451.09
2022-08-05,356331671.73
2022-08-08,357221922.43
2022-08-09,359137257.12
2022-08-10,352780195.45
2022-08-11,354200967.58
2022-08-12,355805210.11
2022-08-15,358029599.36
2022-08-16,359159032.43
2022-08-17,359933673.03
2022-08-18,360352160.15
2022-08-19,362323780.13
2022-08-22,332185189.72
2022-08-23,333886890.24
2022-08-24,334813836.1
2022-08-25,336414175.91
2022-08-26,338499778.14
2022-08-29,339890508.13
2022-08-30,342155351.77
2022-08-31,341741447.7
2022-09-01,341138362.65
2022-09-02,288213779.2
2022-09-05,292474866.68
2022-09-06,300494128.06
2022-09-07,300926008.6
2022-09-08,300660329.72
2022-09-09,301216505.65
2022-09-12,301561837.48
2022-09-13,304599941.98
2022-09-14,308015779.8
2022-09-15,309404935.62
2022-09-16,312032203.9
2022-09-19,318181030.44
2022-09-20,319410200.34
2022-09-21,318154649.39
2022-09-22,318798089.75
2022-09-23,317612375.37
2022-09-26,316417827.78
2022-09-27,314033450.48
2022-09-28,314661412.92
2022-09-29,307984241.67
2022-09-30,307520015.25
2022-10-03,310370880.11
2022-10-04,311541669.27
2022-10-05,306035929.77
2022-10-06,309522880.83
2022-10-07,309802820.95
2022-10-10,310472283.8
2022-10-11,315581132.42
2022-10-12,316051462.11
2022-10-13,316644513.18
2022-10-14,317077760.82
2022-10-17,319363877.09
2022-10-18,321834145.13
2022-10-19,322224308.91
2022-10-20,322970874.91
2022-10-21,323933055.86
2022-10-24,325446292.21
2022-10-25,326701066.64
2022-10-26,327307916.71
2022-10-27,327526543.72
2022-10-28,338621223.25
2022-10-31,339479423.36
2022-11-01,344598222.16
2022-11-02,345610790.71
2022-11-03,345764551.1
2022-11-07,347890071.75
2022-11-08,351740620.58
2022-11-09,353499596.23
2022-11-10,355601265.04
2022-11-11,359048797.5
2022-11-14,362186293.5
2022-11-15,364906422.53
2022-11-16,365102662.05
2022-11-17,366494667.32
2022-11-18,366439372.63
2022-11-21,374808723.03
2022-11-22,378178437.52
2022-11-23,380115418.01
2022-11-24,375877827.09
2022-11-25,375950118.36
2022-11-28,377319570.78
2022-11-29,379742831.55
2022-11-30,379931476.62
2022-12-01,381033840.29
2022-12-02,382008580.86
2022-12-05,384144129.64
2022-12-06,385508640.26
2022-12-07,386913602.13
2022-12-08,387698198.74
2022-12-09,388907331.41
2022-12-12,389695564.08
2022-12-13,396702169.04
2022-12-14,399349774.04
2022-12-15,401126412.29
2022-12-16,404772753.67
2022-12-19,416270955.05
2022-12-20,418866342.23
2022-12-21,421499518.42
2022-12-22,423107861.39
2022-12-23,425969065.67
2022-12-26,428360651.6
2022-12-27,433898441.1
2022-12-28,435764918.17
2022-12-29,438878460.4
2022-12-30,444353343.12
2023-01-09,450722570.64
2023-01-10,463067005.4
2023-01-11,464680999.23
2023-01-12,467297968.51
2023-01-13,470093687.66
2023-01-16,473815807.64
2023-01-17,479452326.82
2023-01-18,479421063.72
2023-01-19,479145663.22
2023-01-20,478642321.63
2023-01-23,480279213.13
2023-01-24,487294513.11
2023-01-25,489169086.0
2023-01-26,493099986.64
2023-01-27,494232577.53
2023-01-30,497972185.74
2023-01-31,502682367.6
2023-02-01,507626600.64
2023-02-02,519038594.29
2023-02-03,519801047.27
2023-02-06,522614340.07
2023-02-07,525328655.58
2023-02-08,527708984.64
2023-02-09,522931918.81
2023-02-10,530983134.73
2023-02-13,529591225.97
2023-02-14,536563721.52
2023-02-15,539315147.35
2023-02-16,554708398.07
2023-02-17,560009225.03
2023-02-20,562352418.58
2023-02-21,553867084.11
2023-02-22,555813062.05
2023-02-27,585667198.78
2023-02-28,594121429.56
2023-03-01,596488301.37
2023-03-02,611428490.05
2023-03-03,612981292.9
2023-03-06,614641320.8
2023-03-07,618354970.23
2023-03-09,618550146.51
2023-03-10,624071548.35
2023-03-13,631988011.09
2023-03-14,641024563.52
2023-03-15,664505003.34
2023-03-16,670702511.81
2023-03-17,652839126.34
2023-03-20,677632926.58
2023-03-21,680526002.17
2023-03-22,685953930.22
2023-03-23,688159398.41
2023-03-24,689932407.27
2023-03-27,706442034.57
2023-03-28,725201146.59
2023-03-29,765289945.18
2023-03-30,813918606.02
2023-03-31,875522693.56
2023-04-03,879686790.98
2023-04-04,867391148.3
2023-04-05,867786058.96
2023-04-06,859662451.65
2023-04-07,860099687.97
2023-04-10,861867882.04
2023-04-11,837829811.02
2023-04-12,833724925.64
2023-04-13,836459899.5
2023-04-14,841068608.32
2023-04-17,846793887.35
2023-04-18,851420797.01
2023-04-19,853596265.47
2023-04-20,854743763.95
2023-04-21,854363061.25
2023-04-24,850274734.43
2023-04-25,853896197.75
2023-04-26,853976446.44
2023-04-27,855268175.78
2023-04-28,856211378.08
2023-05-02,858319936.02
2023-05-03,871138084.26
2023-05-04,870844089.05
2023-05-05,879732313.04
2023-05-10,883021829.71
2023-05-11,884526049.66
2023-05-12,887562387.24
2023-05-15,890267066.91
2023-05-16,893440572.67
2023-05-17,895183977.6
2023-05-18,870113012.93
2023-05-19,875292129.46
2023-05-22,876566161.0
2023-05-23,878050535.42
2023-05-24,878343043.79
2023-05-25,849545627.4
2023-05-26,852003324.38
2023-05-29,851399516.02
2023-05-30,855931190.67
2023-05-31,856866132.95
2023-06-01,831975026.03
2023-06-02,832623845.3
2023-06-05,837163624.38
2023-06-06,829421931.35
2023-06-07,830468094.16
2023-06-08,830491668.43
2023-06-09,832391299.57
2023-06-13,834800075.29
2023-06-14,851471254.81
2023-06-15,846565526.24
2023-06-16,857835223.93
2023-06-19,864981668.81
2023-06-20,888096013.41
2023-06-21,886160661.48
2023-06-22,888072010.34
2023-06-23,893555396.46
2023-06-26,895981761.47
2023-06-27,896753331.92
2023-06-28,897766226.87
2023-06-29,902021912.77
2023-06-30,901151156.1
2023-07-03,908161397.83
2023-07-04,918966347.21
2023-07-05,918156000.31
2023-07-06,909327206.73
2023-07-07,910898743.09
2023-07-10,919501621.59
2023-07-11,923132528.17
2023-07-12,913360277.7
2023-07-13,915366903.81
2023-07-14,923157490.79
2023-07-17,927084037.28
2023-07-18,930200101.0
2023-07-19,931701449.05
2023-07-20,931842824.0
2023-07-21,933443372.33
2023-07-24,940973076.31
2023-07-25,944983306.52
2023-07-26,954840071.81
2023-07-27,955957026.97
2023-07-28,968467522.86
2023-07-31,974265454.62
2023-08-01,965471394.63
2023-08-02,993361383.81
2023-08-03,994724449.77
2023-08-04,987271504.89
2023-08-07,994176978.88
2023-08-08,1000596113.49
2023-08-09,1002043037.31
2023-08-10,997814407.12
2023-08-11,1001218559.04
2023-08-14,1002283473.88
2023-08-15,994001531.91
2023-08-16,993228976.21
2023-08-17,990843929.4
2023-08-18,979648497.32
2023-08-21,943431007.2
2023-08-22,937691313.72
2023-08-23,934997976.44
2023-08-24,909664766.79
2023-08-25,937946787.06
2023-08-28,928458792.47
2023-08-29,901600025.06
2023-08-30,896157303.37
2023-08-31,889403845.96
2023-09-01,891182402.29
2023-09-04,891167145.11
2023-09-05,883110484.1
2023-09-06,882283044.61
2023-09-07,868234939.27
2023-09-08,864186521.07
2023-09-11,851640284.54
2023-09-12,842308366.08
2023-09-13,842398063.95
2023-09-14,839738667.71
2023-09-15,837166380.08
2023-09-18,829316595.27
2023-09-19,830523943.37
2023-09-20,829592147.26
2023-09-21,829384407.56
2023-09-22,826715900.9
2023-09-25,826986942.35
2023-09-26,825064949.11
2023-09-27,815126502.61
2023-09-28,815484951.49
2023-09-29,815480989.94
2023-10-02,815878957.25
2023-10-03,820791669.07
2023-10-04,821259042.58
2023-10-05,805159687.13
2023-10-06,798740572.0
2023-10-09,796480588.29
2023-10-10,796393573.77
2023-10-11,799881252.7
2023-10-12,800123534.63
2023-10-13,801074204.25
2023-10-16,796892788.8
2023-10-17,799752988.54
2023-10-18,798605121.77
2023-10-19,807681639.36
2023-10-20,811481698.08
2023-10-23,828654610.13
2023-10-24,829073786.11
2023-10-25,824566342.8
2023-10-26,823551737.09
2023-10-27,859242417.42
2023-10-30,855147084.37
2023-10-31,855793346.2
2023-11-01,853164343.7
2023-11-02,849986915.97
2023-11-03,861863568.33
2023-11-07,868407276.3
2023-11-08,857674936.45
2023-11-09,859366665.07
2023-11-10,859847718.99
2023-11-13,849467176.86
2023-11-14,851813860.68
2023-11-15,836088149.41
2023-11-16,825619011.44
2023-11-17,828405093.23
2023-11-20,845578151.74
2023-11-21,842276436.76
2023-11-22,842313311.8
2023-11-23,842629057.89
2023-11-24,837875767.89
2023-11-27,839030091.36
2023-11-28,831785759.0
2023-11-29,827386115.48
2023-11-30,825498166.74
2023-12-01,831237207.84
2023-12-04,833055205.23
2023-12-05,835634354.91
2023-12-06,836669236.11
2023-12-07,838990378.1
2023-12-08,839844664.44
2023-12-11,841559390.94
2023-12-12,837894096.8
2023-12-13,844440309.71
2023-12-14,844715173.41
2023-12-15,848370076.8
2023-12-18,849201993.46
2023-12-19,847129110.94
2023-12-20,855266868.18
2023-12-21,805000981.88
2023-12-22,806496988.62
2023-12-25,812674082.41
2023-12-26,814998547.38
2023-12-27,818219551.09
2023-12-28,810718705.02
2023-12-29,814204913.12
2024-01-09,819398825.7
2024-01-10,826646369.44
2024-01-11,827539402.17
2024-01-12,833371264.12
2024-01-15,834029151.0
2024-01-16,835788584.2
2024-01-17,838467865.0
2024-01-18,839299697.4
